,neighbourhood_cleansed,many_properties,many_properties,cleaned_price,cleaned_price
,,,sum,median,mean
74,ΠΟΛΥΓΩΝΟ,1,2,134.0,134.0
75,ΠΡΟΜΠΟΝΑ,0,0,60.0,64.25
76,ΠΡΟΜΠΟΝΑ,1,2,61.5,61.5
77,ΡΗΓΙΛΛΗΣ,0,0,139.0,653.5
78,ΡΙΖΟΥΠΟΛΗ,0,0,59.0,57.0
79,ΡΙΖΟΥΠΟΛΗ,1,1,100.0,100.0
80,ΣΕΠΟΛΙΑ,0,0,50.0,51.52
81,ΣΕΠΟΛΙΑ,1,15,60.0,86.13333333333334
82,ΣΤΑΔΙΟ,0,0,65.0,80.52727272727273
83,ΣΤΑΔΙΟ,1,115,77.0,95.31531531531532
84,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,0,0,48.0,62.91304347826087
85,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,1,25,52.0,51.0
