,host_name,calculated_host_listings_count_entire_homes,neighbourhood_cleansed,latitude,longitude
54,Sokol,42,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98223,23.72136
55,Sarn,18,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9776397,23.7286596
56,Georgios,3,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96867,23.7309
57,Mint,9,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98709,23.74241
58,Tèo,49,ΠΕΔΙΟ ΑΡΕΩΣ,37.99417338952765,23.73276995085885
59,NOHO Boutique,19,ΘΗΣΕΙΟ,37.9743147,23.7166672
60,C W,11,ΝΕΟΣ ΚΟΣΜΟΣ,37.95786,23.73621
61,Monastraki,5,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97846,23.72467
62,Maria,13,ΓΟΥΔΙ,37.9856621,23.7632247
63,Tèo,49,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99587,23.7319
64,David,12,ΝΕΟΣ ΚΟΣΜΟΣ,37.96656,23.7304
65,Sevi,4,ΠΑΓΚΡΑΤΙ,37.97316,23.74796
66,Antonios,8,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9768906,23.7308544
67,Flavia,19,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98729,23.74312
68,Thomas,4,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96491,23.72431
69,George,57,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9668,23.72682
70,HAUSolutions,20,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98307363140558,23.72072438987647
71,Anhome,4,ΝΕΟΣ ΚΟΣΜΟΣ,37.9601016,23.7296405
72,Konstantinos,5,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9862451,23.7254684
73,Marianna,19,ΝΙΡΒΑΝΑ,38.00809,23.72753
74,Antonia,12,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97617,23.72907
75,Hermes,10,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96638,23.72858
76,Ivy Vacation Rentals,21,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.977524,23.729153
77,Golden Home Holidays,35,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96618,23.72796
78,Panagiotis,5,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98237,23.72324
79,The Newel Psychiko,5,ΕΛΛΗΝΟΡΩΣΩΝ,37.99635749999999,23.7723704
80,Dimkat,4,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97489681466473,23.733167326983637
81,The Best Homes,6,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.970903360045774,23.731797268787734
82,Spyros,28,ΝΕΟΣ ΚΟΣΜΟΣ,37.964016,23.72887
83,Ioannis,3,ΝΙΡΒΑΝΑ,38.0078,23.72749
84,Manos,8,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96399,23.72386
85,Blue,10,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96772,23.72799
86,Afrodite,3,ΓΟΥΔΙ,37.98057,23.76175
87,Loukas,40,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9922435,23.7293023
88,Viktor,33,ΝΙΡΒΑΝΑ,38.01337,23.72853
89,Harry,64,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9876823425293,23.750871658325195
90,Dimi David,26,ΠΑΓΚΡΑΤΙ,37.9731,23.74805
91,Emmanouil,5,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97665,23.73203
92,LUXandEASY,15,ΠΑΤΗΣΙΑ,38.01223,23.73183
93,Andrés,3,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98697,23.71843
94,Antonis,14,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9747311,23.7332764
95,Athens Panorama Project,8,ΚΥΨΕΛΗ,37.99755,23.74163
96,Georgina,6,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97636,23.73297
97,Nina,18,ΚΥΨΕΛΗ,38.0011329,23.7420397
98,Petros,3,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,37.99458574947564,23.72118292042014
99,Stelios,22,ΚΟΛΩΝΟΣ,37.9953768,23.7169128
100,Diamond,18,ΑΜΠΕΛΟΚΗΠΟΙ,37.99916,23.7661
101,Athens Boutique Residences,21,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9861455,23.7392199
102,Αριστειδης,33,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9993,23.73071
103,Dimi David,26,ΠΑΓΚΡΑΤΙ,37.97103,23.74838
104,Θεόδωρος,4,ΠΑΓΚΡΑΤΙ,37.97283,23.7481
105,Nestor,12,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99249,23.72629
106,Dimitris,4,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97867,23.72601
107,Spyros,28,ΖΑΠΠΕΙΟ,37.967049,23.73131
108,Yannis & Tax,14,ΝΕΟΣ ΚΟΣΜΟΣ,37.96592,23.72952
109,Gpm,36,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98513,23.7387
110,Gpm,36,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9631,23.7194
111,Liv,9,ΑΜΠΕΛΟΚΗΠΟΙ,37.9912169,23.7664927
112,Vamelon,3,ΑΜΠΕΛΟΚΗΠΟΙ,37.99200293161873,23.763675038926134
113,Maryland,56,ΓΚΥΖΗ,37.9900099,23.7521497
114,Wyz Attiki,6,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.995251,23.722631
115,Gtrip,15,ΣΤΑΔΙΟ,37.96709,23.74279
116,Mamaxo,12,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99711,23.72171
117,Βαρσάμης,3,ΝΕΟΣ ΚΟΣΜΟΣ,37.9597313,23.7295575
118,Tourigo,14,ΝΕΟΣ ΚΟΣΜΟΣ,37.95865,23.72747
119,Amalia,3,ΚΕΡΑΜΕΙΚΟΣ,37.98163,23.71484
120,Romanos,20,ΠΡΟΜΠΟΝΑ,38.026,23.73249
121,Athens Family Apartments,6,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99435,23.72789
122,Spyros & Marina,3,ΠΕΤΡΑΛΩΝΑ,37.96948,23.70619
123,Petros,11,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9880314,23.7428736
124,Kathy,5,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99194840000001,23.727745099999986
125,Natasha,10,ΝΕΟΣ ΚΟΣΜΟΣ,37.96147,23.72402
126,Stelios,22,ΠΕΤΡΑΛΩΝΑ,37.96686,23.70821
127,Mgv,101,ΠΑΓΚΡΑΤΙ,37.97058769709853,23.74916789278763
128,W.S.D Home Inn,15,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.962008952842375,23.720396260793912
